Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 09.10.2023 02:49:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92020;"Briefwahlbezirk";0;0;0;0;583;583;;;7;576;1,2;98,8;70;180;108;41;22;56;14;;11;4;;;;12;;1;;;;48;;;;9;;;;;;12,2;31,3;18,8;7,1;3,8;9,7;2,4;;1,9;0,7;;;;2,1;;0,2;;;;8,3;;;;1,6;;;;;;5;578;0,9;99,1;81;189;90;39;21;54;11;12;7;2;3;0;9;9;0;1;4;0;0;42;4;;;;;;;;;14,0;32,7;15,6;6,7;3,6;9,3;1,9;2,1;1,2;0,3;0,5;0,0;1,6;1,6;0,0;0,2;0,7;0,0;0,0;7,3;0,7;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:17:20;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92021;"Briefwahlbezirk";0;0;0;0;529;529;;;5;524;0,9;99,1;75;211;74;29;12;46;11;;13;5;;;;2;;0;;;;39;;;;7;;;;;;14,3;40,3;14,1;5,5;2,3;8,8;2,1;;2,5;1,0;;;;0,4;;0,0;;;;7,4;;;;1,3;;;;;;5;524;0,9;99,1;77;214;72;29;16;47;8;3;7;3;4;1;5;1;0;1;3;1;0;27;5;;;;;;;;;14,7;40,8;13,7;5,5;3,1;9,0;1,5;0,6;1,3;0,6;0,8;0,2;1,0;0,2;0,0;0,2;0,6;0,2;0,0;5,2;1,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:40:33;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92022;"Briefwahlbezirk";0;0;0;0;623;623;;;3;620;0,5;99,5;106;213;107;38;24;45;17;;4;3;;;;5;;1;;;;51;;;;6;;;;;;17,1;34,4;17,3;6,1;3,9;7,3;2,7;;0,6;0,5;;;;0,8;;0,2;;;;8,2;;;;1,0;;;;;;3;620;0,5;99,5;112;220;93;41;25;50;15;4;1;4;1;0;1;4;0;0;2;1;0;43;3;;;;;;;;;18,1;35,5;15,0;6,6;4,0;8,1;2,4;0,6;0,2;0,6;0,2;0,0;0,2;0,6;0,0;0,0;0,3;0,2;0,0;6,9;0,5;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:59:29;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92023;"Briefwahlbezirk";0;0;0;0;497;497;;;3;494;0,6;99,4;82;148;87;45;16;30;10;;13;1;;;;0;;1;;;;57;;;;4;;;;;;16,6;30,0;17,6;9,1;3,2;6,1;2,0;;2,6;0,2;;;;0,0;;0,2;;;;11,5;;;;0,8;;;;;;2;495;0,4;99,6;83;166;66;51;17;31;9;4;13;0;1;0;1;1;0;2;0;0;0;48;2;;;;;;;;;16,8;33,5;13,3;10,3;3,4;6,3;1,8;0,8;2,6;0,0;0,2;0,0;0,2;0,2;0,0;0,4;0,0;0,0;0,0;9,7;0,4;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:45:01;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92024;"Briefwahlbezirk";0;0;0;0;551;551;;;3;548;0,5;99,5;63;209;101;27;17;45;12;;7;3;;;;6;;2;;;;52;;;;4;;;;;;11,5;38,1;18,4;4,9;3,1;8,2;2,2;;1,3;0,5;;;;1,1;;0,4;;;;9,5;;;;0,7;;;;;;4;547;0,7;99,3;73;207;76;30;20;49;13;6;7;6;2;1;5;4;1;1;4;0;0;41;1;;;;;;;;;13,3;37,8;13,9;5,5;3,7;9,0;2,4;1,1;1,3;1,1;0,4;0,2;0,9;0,7;0,2;0,2;0,7;0,0;0,0;7,5;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:53:48;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92025;"Briefwahlbezirk";0;0;0;0;521;521;;;6;515;1,2;98,8;64;174;104;19;18;38;11;;15;5;;;;5;;4;;;;54;;;;4;;;;;;12,4;33,8;20,2;3,7;3,5;7,4;2,1;;2,9;1,0;;;;1,0;;0,8;;;;10,5;;;;0,8;;;;;;4;517;0,8;99,2;67;184;79;20;23;50;8;5;13;4;1;0;3;4;0;3;3;1;1;43;5;;;;;;;;;13,0;35,6;15,3;3,9;4,4;9,7;1,5;1,0;2,5;0,8;0,2;0,0;0,6;0,8;0,0;0,6;0,6;0,2;0,2;8,3;1,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:55:12;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92026;"Briefwahlbezirk";0;0;0;0;589;589;;;9;580;1,5;98,5;89;161;135;59;17;42;6;;10;3;;;;2;;2;;;;51;;;;3;;;;;;15,3;27,8;23,3;10,2;2,9;7,2;1,0;;1,7;0,5;;;;0,3;;0,3;;;;8,8;;;;0,5;;;;;;6;583;1,0;99,0;95;174;109;63;19;49;5;10;7;1;2;1;3;2;1;2;3;0;1;32;4;;;;;;;;;16,3;29,8;18,7;10,8;3,3;8,4;0,9;1,7;1,2;0,2;0,3;0,2;0,5;0,3;0,2;0,3;0,5;0,0;0,2;5,5;0,7;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:05:43;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92027;"Briefwahlbezirk";0;0;0;0;665;665;;;4;661;0,6;99,4;88;252;101;33;33;40;12;;10;2;;;;5;;0;;;;80;;;;5;;;;;;13,3;38,1;15,3;5,0;5,0;6,1;1,8;;1,5;0,3;;;;0,8;;0,0;;;;12,1;;;;0,8;;;;;;2;663;0,3;99,7;82;260;81;34;41;56;9;8;7;2;0;0;2;5;0;0;2;1;0;72;1;;;;;;;;;12,4;39,2;12,2;5,1;6,2;8,4;1,4;1,2;1,1;0,3;0,0;0,0;0,3;0,8;0,0;0,0;0,3;0,2;0,0;10,9;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:52:13;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";92028;"Briefwahlbezirk";0;0;0;0;504;504;;;3;501;0,6;99,4;105;170;76;32;22;39;7;;6;2;;;;6;;1;;;;31;;;;4;;;;;;21,0;33,9;15,2;6,4;4,4;7,8;1,4;;1,2;0,4;;;;1,2;;0,2;;;;6,2;;;;0,8;;;;;;2;502;0,4;99,6;108;169;57;38;24;40;5;9;4;2;3;0;4;3;0;0;0;0;0;33;3;;;;;;;;;21,5;33,7;11,4;7,6;4,8;8,0;1,0;1,8;0,8;0,4;0,6;0,0;0,8;0,6;0,0;0,0;0,0;0,0;0,0;6,6;0,6;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:39:33;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93030;"Briefwahlbezirk";0;0;0;0;612;612;;;4;608;0,7;99,3;130;213;97;25;22;26;10;;7;4;;;;7;;1;;;;61;;;;5;;;;;;21,4;35,0;16,0;4,1;3,6;4,3;1,6;;1,2;0,7;;;;1,2;;0,2;;;;10,0;;;;0,8;;;;;;1;611;0,2;99,8;141;208;80;30;29;34;8;8;4;2;3;0;1;5;1;1;5;0;0;49;2;;;;;;;;;23,1;34,0;13,1;4,9;4,7;5,6;1,3;1,3;0,7;0,3;0,5;0,0;0,2;0,8;0,2;0,2;0,8;0,0;0,0;8,0;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:44:33;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93031;"Briefwahlbezirk";0;0;0;0;408;408;;;1;407;0,2;99,8;167;86;60;23;26;8;5;;6;2;;;;1;;0;;;;22;;;;1;;;;;;41,0;21,1;14,7;5,7;6,4;2,0;1,2;;1,5;0,5;;;;0,2;;0,0;;;;5,4;;;;0,2;;;;;;0;408;0,0;100,0;175;72;53;25;28;9;5;4;7;1;0;0;3;1;0;0;2;1;0;21;1;;;;;;;;;42,9;17,6;13,0;6,1;6,9;2,2;1,2;1,0;1,7;0,2;0,0;0,0;0,7;0,2;0,0;0,0;0,5;0,2;0,0;5,1;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:18:19;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93032;"Briefwahlbezirk";0;0;0;0;599;599;;;8;591;1,3;98,7;190;169;86;30;39;30;8;;2;0;;;;3;;0;;;;34;;;;0;;;;;;32,1;28,6;14,6;5,1;6,6;5,1;1,4;;0,3;0,0;;;;0,5;;0,0;;;;5,8;;;;0,0;;;;;;3;596;0,5;99,5;195;178;66;35;34;37;4;6;3;1;0;0;1;2;0;0;3;0;0;29;2;;;;;;;;;32,7;29,9;11,1;5,9;5,7;6,2;0,7;1,0;0,5;0,2;0,0;0,0;0,2;0,3;0,0;0,0;0,5;0,0;0,0;4,9;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:10:17;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93033;"Briefwahlbezirk";0;0;0;0;341;341;;;4;337;1,2;98,8;69;96;55;22;9;22;7;;6;1;;;;1;;0;;;;45;;;;4;;;;;;20,5;28,5;16,3;6,5;2,7;6,5;2,1;;1,8;0,3;;;;0,3;;0,0;;;;13,4;;;;1,2;;;;;;3;338;0,9;99,1;82;88;52;24;17;22;3;5;2;1;0;0;2;3;0;0;1;0;0;32;4;;;;;;;;;24,3;26,0;15,4;7,1;5,0;6,5;0,9;1,5;0,6;0,3;0,0;0,0;0,6;0,9;0,0;0,0;0,3;0,0;0,0;9,5;1,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:56:07;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93034;"Briefwahlbezirk";0;0;0;0;563;563;;;5;558;0,9;99,1;111;144;106;45;25;31;21;;7;1;;;;1;;0;;;;64;;;;2;;;;;;19,9;25,8;19,0;8,1;4,5;5,6;3,8;;1,3;0,2;;;;0,2;;0,0;;;;11,5;;;;0,4;;;;;;4;559;0,7;99,3;134;140;101;39;26;32;15;8;4;1;0;0;6;2;0;0;6;1;0;43;1;;;;;;;;;24,0;25,0;18,1;7,0;4,7;5,7;2,7;1,4;0,7;0,2;0,0;0,0;1,1;0,4;0,0;0,0;1,1;0,2;0,0;7,7;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:32:57;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93035;"Briefwahlbezirk";0;0;0;0;406;406;;;4;402;1,0;99,0;86;130;68;22;11;28;9;;5;1;;;;1;;2;;;;33;;;;6;;;;;;21,4;32,3;16,9;5,5;2,7;7,0;2,2;;1,2;0,2;;;;0,2;;0,5;;;;8,2;;;;1,5;;;;;;1;405;0,2;99,8;92;136;49;22;16;31;6;5;3;0;1;0;4;2;0;1;4;0;0;29;4;;;;;;;;;22,7;33,6;12,1;5,4;4,0;7,7;1,5;1,2;0,7;0,0;0,2;0,0;1,0;0,5;0,0;0,2;1,0;0,0;0,0;7,2;1,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:28:24;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";93036;"Briefwahlbezirk";0;0;0;0;387;387;;;3;384;0,8;99,2;100;91;60;27;23;16;15;;8;2;;;;6;;1;;;;35;;;;0;;;;;;26,0;23,7;15,6;7,0;6,0;4,2;3,9;;2,1;0,5;;;;1,6;;0,3;;;;9,1;;;;0,0;;;;;;0;387;0,0;100,0;111;94;52;33;25;14;9;7;4;1;1;0;1;4;0;1;2;0;0;27;1;;;;;;;;;28,7;24,3;13,4;8,5;6,5;3,6;2,3;1,8;1,0;0,3;0,3;0,0;0,3;1,0;0,0;0,3;0,5;0,0;0,0;7,0;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:48:16;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96060;"Briefwahlbezirk";0;0;0;0;494;494;;;5;489;1,0;99,0;137;76;114;61;34;13;11;;4;4;;;;3;;0;;;;27;;;;5;;;;;;28,0;15,5;23,3;12,5;7,0;2,7;2,2;;0,8;0,8;;;;0,6;;0,0;;;;5,5;;;;1,0;;;;;;4;490;0,8;99,2;134;88;103;61;37;15;13;7;0;2;0;0;2;2;1;0;1;1;0;23;0;;;;;;;;;27,3;18,0;21,0;12,4;7,6;3,1;2,7;1,4;0,0;0,4;0,0;0,0;0,4;0,4;0,2;0,0;0,2;0,2;0,0;4,7;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:20:20;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96061;"Briefwahlbezirk";0;0;0;0;317;317;;;2;315;0,6;99,4;78;48;89;47;14;5;12;;1;0;;;;5;;0;;;;15;;;;1;;;;;;24,8;15,2;28,3;14,9;4,4;1,6;3,8;;0,3;0,0;;;;1,6;;0,0;;;;4,8;;;;0,3;;;;;;0;317;0,0;100,0;96;59;77;40;9;7;8;2;0;1;1;0;0;4;1;0;0;0;0;11;1;;;;;;;;;30,3;18,6;24,3;12,6;2,8;2,2;2,5;0,6;0,0;0,3;0,3;0,0;0,0;1,3;0,3;0,0;0,0;0,0;0,0;3,5;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:56:56;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96062;"Briefwahlbezirk";0;0;0;0;343;343;;;3;340;0,9;99,1;88;62;110;25;16;9;8;;4;2;;;;3;;0;;;;13;;;;0;;;;;;25,9;18,2;32,4;7,4;4,7;2,6;2,4;;1,2;0,6;;;;0,9;;0,0;;;;3,8;;;;0,0;;;;;;1;342;0,3;99,7;86;74;94;30;21;7;5;3;3;1;2;0;1;1;0;0;1;0;0;12;1;;;;;;;;;25,1;21,6;27,5;8,8;6,1;2,0;1,5;0,9;0,9;0,3;0,6;0,0;0,3;0,3;0,0;0,0;0,3;0,0;0,0;3,5;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:24:53;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96063;"Briefwahlbezirk";0;0;0;0;510;510;;;6;504;1,2;98,8;165;94;124;36;19;14;9;;5;2;;;;3;;1;;;;29;;;;3;;;;;;32,7;18,7;24,6;7,1;3,8;2,8;1,8;;1,0;0,4;;;;0,6;;0,2;;;;5,8;;;;0,6;;;;;;5;505;1,0;99,0;162;96;100;39;24;19;7;8;4;4;0;0;3;4;1;0;1;0;0;32;1;;;;;;;;;32,1;19,0;19,8;7,7;4,8;3,8;1,4;1,6;0,8;0,8;0,0;0,0;0,6;0,8;0,2;0,0;0,2;0,0;0,0;6,3;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:49:40;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96064;"Briefwahlbezirk";0;0;0;0;484;484;;;3;481;0,6;99,4;146;80;133;44;27;13;4;;9;1;;;;3;;0;;;;20;;;;1;;;;;;30,4;16,6;27,7;9,1;5,6;2,7;0,8;;1,9;0,2;;;;0,6;;0,0;;;;4,2;;;;0,2;;;;;;1;483;0,2;99,8;155;88;102;50;31;11;4;7;6;0;1;0;3;2;1;0;1;0;0;20;1;;;;;;;;;32,1;18,2;21,1;10,4;6,4;2,3;0,8;1,4;1,2;0,0;0,2;0,0;0,6;0,4;0,2;0,0;0,2;0,0;0,0;4,1;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:43:49;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96065;"Briefwahlbezirk";0;0;0;0;493;493;;;7;486;1,4;98,6;142;80;140;43;22;15;9;;8;3;;;;2;;1;;;;18;;;;3;;;;;;29,2;16,5;28,8;8,8;4,5;3,1;1,9;;1,6;0,6;;;;0,4;;0,2;;;;3,7;;;;0,6;;;;;;3;490;0,6;99,4;154;91;110;44;20;19;8;8;8;1;2;0;1;3;1;0;1;0;0;17;2;;;;;;;;;31,4;18,6;22,4;9,0;4,1;3,9;1,6;1,6;1,6;0,2;0,4;0,0;0,2;0,6;0,2;0,0;0,2;0,0;0,0;3,5;0,4;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:25:33;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";96066;"Briefwahlbezirk";0;0;0;0;480;480;;;5;475;1,0;99,0;132;82;127;59;20;16;9;;7;3;;;;4;;1;;;;14;;;;1;;;;;;27,8;17,3;26,7;12,4;4,2;3,4;1,9;;1,5;0,6;;;;0,8;;0,2;;;;2,9;;;;0,2;;;;;;2;478;0,4;99,6;134;86;109;61;29;18;9;5;5;2;1;0;2;4;1;0;0;0;0;12;0;;;;;;;;;28,0;18,0;22,8;12,8;6,1;3,8;1,9;1,0;1,0;0,4;0,2;0,0;0,4;0,8;0,2;0,0;0,0;0,0;0,0;2,5;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:30:41;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";98080;"Briefwahlbezirk";0;0;0;0;573;573;;;9;564;1,6;98,4;171;59;152;63;28;21;23;;5;7;;;;0;;2;;;;29;;;;4;;;;;;30,3;10,5;27,0;11,2;5,0;3,7;4,1;;0,9;1,2;;;;0,0;;0,4;;;;5,1;;;;0,7;;;;;;7;566;1,2;98,8;175;70;140;66;22;18;17;5;7;2;5;0;4;1;2;1;1;0;0;25;5;;;;;;;;;30,9;12,4;24,7;11,7;3,9;3,2;3,0;0,9;1,2;0,4;0,9;0,0;0,7;0,2;0,4;0,2;0,2;0,0;0,0;4,4;0,9;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:24:25;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";98081;"Briefwahlbezirk";0;0;0;0;522;522;;;12;510;2,3;97,7;160;90;119;52;25;18;18;;6;0;;;;4;;0;;;;17;;;;1;;;;;;31,4;17,6;23,3;10,2;4,9;3,5;3,5;;1,2;0,0;;;;0,8;;0,0;;;;3,3;;;;0,2;;;;;;7;515;1,3;98,7;161;101;108;58;27;16;8;6;5;0;0;0;1;1;2;0;1;0;0;18;2;;;;;;;;;31,3;19,6;21,0;11,3;5,2;3,1;1,6;1,2;1,0;0,0;0,0;0,0;0,2;0,2;0,4;0,0;0,2;0,0;0,0;3,5;0,4;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:59:16;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";99090;"Briefwahlbezirk";0;0;0;0;450;450;;;6;444;1,3;98,7;102;146;73;36;17;28;7;;5;2;;;;2;;0;;;;23;;;;3;;;;;;23,0;32,9;16,4;8,1;3,8;6,3;1,6;;1,1;0,5;;;;0,5;;0,0;;;;5,2;;;;0,7;;;;;;5;445;1,1;98,9;96;152;55;41;17;42;7;2;3;1;0;0;1;1;0;0;3;2;0;21;1;;;;;;;;;21,6;34,2;12,4;9,2;3,8;9,4;1,6;0,4;0,7;0,2;0,0;0,0;0,2;0,2;0,0;0,0;0,7;0,4;0,0;4,7;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:23:16;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";99091;"Briefwahlbezirk";0;0;0;0;566;566;;;10;556;1,8;98,2;174;120;108;64;17;19;11;;6;3;;;;2;;0;;;;31;;;;1;;;;;;31,3;21,6;19,4;11,5;3,1;3,4;2,0;;1,1;0,5;;;;0,4;;0,0;;;;5,6;;;;0,2;;;;;;8;558;1,4;98,6;176;148;85;67;17;18;10;1;7;3;1;1;1;1;0;0;1;0;0;21;0;;;;;;;;;31,5;26,5;15,2;12,0;3,0;3,2;1,8;0,2;1,3;0,5;0,2;0,2;0,2;0,2;0,0;0,0;0,2;0,0;0,0;3,8;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 21:09:02;1;;"";0
04941100000;"Darmstadt, Wissenschaftsstadt";"SB";99092;"Briefwahlbezirk";0;0;0;0;529;529;;;4;525;0,8;99,2;153;125;97;51;25;24;10;;3;4;;;;0;;0;;;;32;;;;1;;;;;;29,1;23,8;18,5;9,7;4,8;4,6;1,9;;0,6;0,8;;;;0,0;;0,0;;;;6,1;;;;0,2;;;;;;1;528;0,2;99,8;159;135;83;51;23;20;6;7;3;5;0;1;0;0;2;0;2;1;0;30;0;;;;;;;;;30,1;25,6;15,7;9,7;4,4;3,8;1,1;1,3;0,6;0,9;0,0;0,2;0,0;0,0;0,4;0,0;0,4;0,2;0,0;5,7;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:16:28;1;;"";0
05041100000;"Darmstadt, Wissenschaftsstadt";"SB";00600;"Georg-Büchner-Schule";1503;989;514;0;663;6;;;10;653;1,5;98,5;176;184;157;36;30;31;19;;;;;;;;;;;0;;16;;;;4;;;;;;27,0;28,2;24,0;5,5;4,6;4,7;2,9;;;;;;;;;;;0,0;;2,5;;;;0,6;;;;;;10;653;1,5;98,5;175;207;73;38;43;46;10;9;5;4;0;1;1;4;0;0;2;0;0;34;1;;;;;;;;;26,8;31,7;11,2;5,8;6,6;7,0;1,5;1,4;0,8;0,6;0,0;0,2;0,2;0,6;0,0;0,0;0,3;0,0;0,0;5,2;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:21:49;1;;"";0
05041100000;"Darmstadt, Wissenschaftsstadt";"SB";00610;"Alice-Eleonoren-Schule";1340;868;472;0;663;8;;;5;658;0,8;99,2;226;159;157;36;33;18;12;;;;;;;;;;;1;;16;;;;0;;;;;;34,3;24,2;23,9;5,5;5,0;2,7;1,8;;;;;;;;;;;0,2;;2,4;;;;0,0;;;;;;3;660;0,5;99,5;227;189;81;42;49;24;10;3;6;2;0;0;0;1;3;0;2;2;0;19;0;;;;;;;;;34,4;28,6;12,3;6,4;7,4;3,6;1,5;0,5;0,9;0,3;0,0;0,0;0,0;0,2;0,5;0,0;0,3;0,3;0,0;2,9;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:07:40;1;;"";0
05041100000;"Darmstadt, Wissenschaftsstadt";"SB";00620;"Lichtenbergschule";1030;710;320;0;501;3;;;3;498;0,6;99,4;147;127;116;42;24;22;6;;;;;;;;;;;2;;12;;;;0;;;;;;29,5;25,5;23,3;8,4;4,8;4,4;1,2;;;;;;;;;;;0,4;;2,4;;;;0,0;;;;;;3;498;0,6;99,4;150;147;63;46;27;24;4;3;4;1;1;0;0;1;1;0;2;2;0;22;0;;;;;;;;;30,1;29,5;12,7;9,2;5,4;4,8;0,8;0,6;0,8;0,2;0,2;0,0;0,0;0,2;0,2;0,0;0,4;0,4;0,0;4,4;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:45:47;1;;"";0
